,start,distance,speed
bus0,"(7898.33, 4243.01)",10195.020200054876,"[0.0, 0.9783711437601595, 1.7863647580146789, 2.6661438425537196, 3.630629942240193, 4.361337279668077, 5.396967884944751, 6.359822372021153, 7.267761885747313, 8.005426811054349, 8.624510417087002, 9.50774999214336, 10.319073529355224, 10.97491874909028, 11.763247619010503, 10.024805182294926, 6.121893084544697, 6.781942329399296, 7.855713971035564, 8.796690601047137, 6.8158371324492535, 7.32050275793299, 7.064677533973008, 7.862862068181856, 8.87959491740912, 9.605776929296551, 10.55757005079649, 11.236645496962588, 12.233909712266172, 13.257380014332005, 13.479348388183862, 13.885742661785335, 13.372528571365402, 13.415899704778568, 13.762329166671261, 13.68687176118605, 13.7076492435392, 13.516863364549355, 11.797390264683173, 8.001745294351835, 4.104568926934856, 0.38231441180055986, 0.2174597908873272, 0.07049784728973617, 0.017243776473351104, 0.0071474878238355, 0.0028752559199616183, 0.001751360404480724, 1.0000000435069096, 1.8386242963980775, 3.009052259163175, 3.668588456944738, 4.38115618216357, 4.997541621155281, 6.116399765121926, 7.0772115015100585, 8.078786144606013, 8.759111613608141, 9.642846369152132, 10.692537497417243, 11.390026597366841, 12.031125946403654, 12.517055025438701, 9.166385921065617, 5.166385921065617, 1.1663859210656167, 0.15466020972958572, 0.038586172101851585, 0.006569073598753954, 0.000860780001245088, 0.0005632314343738483, 0.00015628684561720045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6499029567930847, 1.5469591832254082, 2.3777791989035904, 3.1640385167207565, 3.965845606103539, 5.145538902981206, 6.325065933633596, 7.014350388664752, 7.995420541986823, 8.6177996462211, 9.707218314288182, 10.758709108550098, 11.874489027075466, 12.778275939077135, 13.432446590764444, 14.401415281137448, 15.418659756844859, 16.389467465132473, 17.104966644058003, 17.796599086839702, 18.585176722006867, 19.440560482442372, 20.576643860153847, 21.204753765882916, 21.62760496612638, 22.143883603839203, 21.954902585390954, 21.880821254132314, 22.18799476961605, 22.158208868401125, 21.852227304251862, 22.076621866533532, 22.050439802585167, 21.96850920094177, 22.009724559010937, 22.18055233082734, 21.71270157883875, 22.07409840014763, 22.139932004343716, 22.161269460413603, 21.63465191836469, 22.17047588762827, 21.712792952340095, 21.89518924628384, 21.73313675167039, 21.671977055240422, 21.9658677964285, 21.671823798706754, 22.07519917551428, 21.975039818584918, 22.007232594192025, 21.831356509244067, 21.70767474712804, 22.2000909535028, 21.715793183054775, 21.852805611845106, 21.752666446920482, 21.74224243846722, 21.7133998035267, 21.872562613692132, 22.002255643745883, 22.187009277828036, 21.832476269202306, 22.103809524029494, 21.82210158713162, 21.79547915810719, 21.699478230141104, 21.951820385251192, 21.79753050541505, 22.16397183195688, 22.193962691100314, 22.123024005377665, 22.031480745347217, 21.7171808523871, 21.947828045235944, 21.660943481121212, 21.79146958000958, 21.752925293361766, 22.10271827190183, 21.750826815310866, 21.890269228238612, 22.0794644730445, 22.029694856405257, 22.175810011643915, 21.687037473199887, 21.999280441394074, 21.831132426746187, 22.13281665745191, 22.126162361474705, 21.779993000095708, 22.09613371782936, 21.96385320362635, 21.79216875730082, 21.626933818897232, 22.207628857558593, 21.779522050991652, 22.067504109935832, 21.967365994704885, 21.644899222189558, 22.129592498047277, 22.153895558072254, 22.07581082436256, 21.770753576681017, 22.13050784154795, 22.005537902172655, 21.801991773098706, 21.71947004429996, 22.168320270422846, 22.148193532070145, 21.642845848975703, 21.654222921589387, 21.941042548445985, 22.139863677164538, 21.715976606057957, 22.10709986275062, 22.058954272260888, 22.072333463728427, 21.919011165788397, 22.04677350589074, 22.21726825240068, 18.21726825240068, 14.217268252400679, 11.365262870760635, 7.385155165046453, 7.539193093115464, 8.554386999914422, 9.619638929273933, 10.489098630091174, 11.421983857909215, 12.537293135644864, 13.164142040759321, 12.455206872718408, 12.76939219343585, 9.215649211407795, 8.720124470181762, 8.670821734350174, 8.958133090166374, 9.894721820969133, 10.758767955768851, 10.994226810671389, 6.994226810671389, 6.790857291650027, 6.761364765008912, 7.712247794270516, 8.654031970780343, 9.838446168703959, 10.807520945472643, 11.844913506284355, 12.981544800763947, 13.46317198603414, 13.356105077834801, 13.88673217702657, 13.598346233842895, 13.477115777330473, 13.781914379317314, 13.55380701251328, 13.787536851558835, 13.549622648824007, 13.865586944120006, 13.484422138016672, 13.507172101372854, 13.352815581355244, 13.311674900315703, 13.546041553476826, 13.841040084008128, 13.65894893422723, 13.32204198726453, 13.44078312973492, 13.292727928664537, 13.815051924353465, 13.790770520791412, 13.829555227803066, 13.292134023327382, 13.657107941536234, 13.507302729003133, 13.639050092138351, 13.354824568200858, 13.805850847726688, 13.877433914188297, 13.773438075799495, 13.887476497152822, 13.828901263754815, 13.503272493286058, 13.65304641896859, 13.777066244333984, 13.844981111409144, 13.527612828752027, 13.721154900602997, 13.444062955174596, 13.363778216913342, 13.785736888144166, 13.2939400506299, 13.576028604442254, 13.885766018657014, 13.75135733993724, 13.723604658069089, 13.888781786765904, 13.666019920734689, 13.378590556383134, 13.63062771932222, 13.803046921323986, 13.775183285549284, 13.541734321704135, 13.831548724891618, 13.635210587605835, 13.429314752351493, 13.573235445013271, 13.703552846666426, 10.65470546076092, 6.654705460760921, 3.259946675989957, 0.3797502023898519, 0.012509464168101026, 0.0005828561702064957, 0.0, 0.0, 0.00010226898750310807, 0.0, 0.0, 0.0, 0.0, 0.9288336358498781, 2.0883343570400026, 3.0859147483482956, 4.243834541738033, 5.1851993763819335, 6.340109259076416, 7.285095434077084, 8.334714246494695, 9.445042681228369, 10.546318209590389, 11.346639573806895, 12.304055064730344, 13.108111902605739, 13.356979969013484, 13.597377774640918, 13.701080530146138, 13.443883543750271, 13.325202785627917, 13.717308936137707, 13.303408622145653, 13.452931103864685, 13.779467619080098, 13.320243438016623, 13.459937355117873, 13.888329650843517, 13.842619810402393, 13.521171416770667, 13.718860478801654, 13.776905545648187, 13.620810131365435, 13.828076119031758, 13.554365342399105, 13.38251400763169, 13.616184707740322, 13.537167093493045, 13.830566725004465, 13.608230277160184, 13.796565917283298, 13.606107812477276, 13.878988973619418, 13.40623013257049, 13.533809064896777, 13.294927620152013, 13.402304509291426, 13.83687344133854, 13.431441527707502, 13.812995017189532, 13.741213587960228, 13.54946553396061, 9.54946553396061, 5.554337185003716, 1.5543371850037158, 0.18202589056328472, 0.1189620680527906, 0.015482499419599694, 0.0061073428049974714, 0.003031029825686791, 0.00039740163186008967, 0.00016185070853922117, 0.0, 0.0, 0.0, 0.8328582824673503, 0.0, 0.0, 0.0372949331143627, 1.1714276101981975, 1.9232835397200412, 2.996145839577702, 3.9386829963961367, 5.1324929926154885, 6.314615992836815, 5.197137142785138, 1.874977749653403, 0.28478128892270616, 0.07904562753042935, 0.029061472378876713, 0.004390586869561578, 0.003373623413188788, 0.0004434974133219941, 0.0, 0.2657797207118273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0942910187877715, 1.886057567317039, 2.5997761021368206, 3.598358890134841, 4.792613392928615, 0.89212018594002, 0.3534999969065822, 0.1509900748655106, 0.035595424722687466, 0.010893745047528745, 0.005906708567621941, 0.0022235027331170523, 0.0006169309499363287, 0.00023777694423419372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9295508444309235, 1.5894401548895987, 2.289751315210015, 2.9323953801300378, 3.5873387449420986, 4.3381856726948165, 4.945692867552861, 5.761373704439029, 6.841144227935001, 7.528271119343117, 8.553628299152479, 9.457102167187259, 10.469984724652022, 11.319060921343043, 12.134404769958927, 13.140125827817243, 13.547077652961017, 13.642100310986862, 13.685367291709408, 13.310999173913151, 13.66386526465416, 13.574512115595862, 13.067042619287646, 13.034589007302916, 12.375126925741437, 12.196999816902574, 12.064284618546736, 11.250623435256607, 10.511990984141919, 10.352791695522255, 10.543879196386909, 9.892963474969202, 10.728336585139475, 11.043281334758221, 10.83682619125739, 10.07584320554402, 10.399365599096702, 9.94039163004826, 10.091000363161745, 10.44376976487229, 9.978229379940531, 9.85319641071795, 10.733904780876594, 10.092965305722212, 10.524323384736332, 10.241943133154711, 10.21785487255665, 10.361662086948655, 10.47483312691933, 10.266376721291225, 10.23219287377283, 10.522260610756913, 9.511333481215544, 7.715147749211314, 7.401426874603535, 7.725753886677914, 8.238651134222442, 7.451536099922667, 5.952440021860373, 6.132155531218443, 7.3201534445324725, 8.206575478047299, 8.883434957165436, 9.734631617220282, 10.881308612452983, 10.592510460640506, 10.94828563681108, 10.73925104657133, 11.256544537977929, 10.724349190387715, 10.34840441841564, 10.202214427182668, 10.85520321647563, 10.606028711138164, 10.494909597963058, 10.761988150249882, 10.175712727138942, 8.621104729097347, 4.906621058458706, 6.0291976201685715, 3.6952504494150604, 0.28427535299967255, 0.13895237696007276, 0.7602956861129441, 0.0, 0.0, 0.0, 1.0295801941305398, 1.7043929660227146, 2.4712109531275925, 3.077528817672282, 3.7853324130177493, 4.547863439004868, 5.612902473472058, 6.629718055296689, 7.46273144125007, 8.306518261274322, 8.558831881266087, 8.850085277576, 8.86117691868916, 8.510962380710989, 8.867431413652376, 9.716592363258824, 10.83528203614056, 11.857409213520585, 13.039550366848704, 13.786746143884958, 13.744903803113848, 13.704012539573014, 13.678629826018588, 13.560719499327243, 13.81076951363124, 13.42419638061896, 13.75589058134705, 13.567781003387646, 13.325352047206835, 12.975309912071918, 9.518802657094033, 5.518802657094033, 2.7993216547609956, 2.3217201116525636, 3.0547926202912885, 3.79779471825185, 4.737659416723352, 5.457349569586392, 6.352025242339175, 7.0126568753768765, 8.010177904649924, 7.154093926989817, 6.689313891726942, 5.87172599491437, 6.96626218339202, 7.618514603988798, 8.588574212889716, 9.70146648949717, 10.738423002471745, 11.270318697842274, 10.6610426297095, 11.588923813836681, 10.367894645759327, 10.345421669651774, 10.51394986834694, 10.817545710278969, 11.237168911945327, 10.074308177595865, 9.924017049506604, 9.120134504098495, 5.3176718104301495, 3.053337711050772, 0.6529648785501463, 0.3915130488852245, 0.13043320514719262, 0.038028691469223205, 0.0024072352581657186, 1.179189865269605, 2.3791898652696046, 3.579189865269605, 4.777741947795171, 5.429807597516943, 6.144410020091478, 7.330284862152208, 8.049000793394539, 8.626223504856275, 8.144481083161944, 7.662625276271535, 8.630303697332089, 4.630303697332089, 0.6303036973320886, 1.8174571484302176, 2.9316046095195234, 3.893462607750949, 0.0, 1.1421421154402196, 1.1407356709388814, 0.10369791077230371, 0.015618018218389871, 0.0012961835119898965, 0.0, 0.0001297323213896162, 0.8046010962402453, 1.5329074003448713, 2.6399851241795345, 3.7799125475989657, 4.579372449702956, 5.440623850952275, 6.1106844508735465, 6.880995082035103, 7.7145636497711765, 8.682272630482354, 9.713276049559378, 10.884460280155205, 11.980655104778148, 13.002809700061938, 14.064919356181656, 14.92729840266462, 15.693581354868968, 16.472425919742694, 17.60207404016461, 18.523588927294497, 18.924565113997087, 18.91763199596666, 19.37980395141989, 20.42252464667894, 21.500717608127744, 21.76247668311, 21.638313924921675, 21.920635758414864, 22.118272799979895, 21.661606796579434, 22.034936680020763, 21.814142014812678, 21.89889112206176, 22.05472714968957, 22.21787741615437, 22.10944186917506, 21.63752838050015, 21.96574457001872, 22.205083423182366, 21.9528688706737, 22.158981239544225, 22.048750477079302, 21.72661556338891, 22.172220707479863, 21.657407443253323, 21.92339302793145, 22.15110937476158, 21.82916319862008, 21.691144376927987, 21.901983872223646, 22.037707332782446, 21.729593559708444, 22.203044188143686, 22.03195968254469, 21.812975277500225, 21.93894330456853, 22.13443838723935, 21.68719347760081, 22.14134550362825, 21.97871658637188, 22.02549902250059, 21.688609198648482, 21.703354200702158, 21.902298948522656, 21.642256312426177, 21.9237911075633, 21.99833471489139, 21.711723613720388, 21.83268579289317, 22.066719099301842, 21.976978897005317, 22.192506281221284, 21.849143204493448, 22.19192379091866, 21.81789470490068, 21.81933593040332, 21.875304460506886, 22.207171533238142, 21.652993916654957, 22.12325898071751, 21.854042477468028, 21.64047999645583, 21.74131446218118, 21.923898116666823, 21.857566616106777, 21.75598143500276, 22.076080674426628, 22.15419573176652, 22.146649747975168, 21.663318063393234, 21.812775680636985, 22.182631860468536, 21.64975735873915, 22.096245041098445, 22.033295730948446, 22.120918457610532, 21.98455042590387, 21.782904281215743, 22.02150869693607, 21.660398501791057, 21.720741259939967, 21.729228503797202, 22.02872080856934, 21.99937968368642, 21.8576557580661, 21.65321643816307, 22.109876864803955, 22.107533532921224, 21.802328252587465, 21.889369582785292, 21.67487541439943, 22.21530060146935, 22.08260497337207, 21.8975904702954, 21.87322933010757, 21.97918620401062, 22.11269411494024, 21.808783720601348, 21.78360664600506, 22.208674398139117, 22.052395565044133, 22.156509003629907, 21.854661143226547, 21.676078515341505, 21.734447747962548, 21.79282932740636, 22.044237338267266, 22.154302513720467, 21.672932687615976, 22.008418648717925, 22.03079936157912, 22.00203405891545, 21.63880864370614, 22.0043925725203, 22.165202706195412, 22.127394502637905, 21.906016389075667, 21.990850442163644, 21.71848705478944, 22.073133193124086, 21.73356860869564, 21.991049039904027, 22.053836811222133, 22.127438707258552, 21.842783249244093, 21.908526522647588, 19.18826626684517, 19.09842109392397, 18.94412820847705, 19.160966989081356, 18.984133681152016, 18.9140762101952, 18.91641176409088, 18.84145243993029, 19.274712578030304, 19.238583052726465, 19.204798328932377, 18.852721739988777, 18.944666039440783, 19.097321465341377, 18.843677283274012, 18.982429975094274, 19.061798667730766, 19.02316069864668, 19.147916097901764, 19.02265764000826, 19.17066046605818, 19.104265893911943, 18.850253815306353, 19.06046894626692, 19.23785015853122, 18.93359990092926, 19.03834032179788, 18.963085612524303, 17.209629474648796, 13.274217489476834, 9.274217489476834, 5.274217489476834, 1.2742174894768343, 0.1226024605467716, 0.025457646341516742, 0.0019195939509048135, 0.000792731575663523, 0.0003063390262524806, 0.0, 0.6336779238190502, 1.7876734333578497, 2.5991887412499635, 3.3711909564211964, 4.060956652415916, 4.720466613862663, 5.513719049328937, 6.1302989335265, 7.163651445368305, 7.829829478031025, 8.871249122126027, 9.717026024591176, 10.773088994342832, 11.85108382492326, 12.595871905284, 13.306556082749736, 13.911946393596004, 14.919907373143355, 15.913437786139543, 15.34116914358576, 11.34116914358576, 7.341169143585759, 3.830268929119358, 4.698341983475858, 5.49867258888031, 4.161443084509512, 5.333187920817574, 6.134934800475304, 7.001185681888302, 7.849988540386248, 8.906772944315735, 9.991249287299278, 11.181733844600084, 12.329076479033963, 12.969697512873916, 9.349536155305339, 5.349536155305339, 6.282010927051306, 6.225559416878968, 5.73725358908996, 6.75862954063341, 7.731168590672314, 8.725120418379083, 9.821460913494228, 10.866915097134186, 11.70509824301116, 12.695577690191564, 13.877211811495945, 13.795992165254429, 12.263270362408715, 8.606474780466293, 4.71100250670023, 5.769460545492244, 6.594484190980789, 7.377597407846303, 8.54030482698098, 9.14781017237209, 10.330102387711928, 11.243169015775026, 12.100351784786731, 13.039326242998763, 13.422987365406007, 10.622735130050279, 7.309979084445225, 7.933411040687934, 7.830037275301293, 8.508719772594048, 8.498341992711648, 9.527801903178915, 10.496448457036166, 11.394431881494818, 12.456164194671434, 13.524133632592854, 13.610803940529005]"
veh0,"(8137.26, 1171.74)",6.632853994634932,"[0.0, 2.215580755379051, 4.4172732392558824]"
bus1,"(1512.296472224197, 3661.8215003587534)",5400.356173297977,"[0.0, 1.1380362776108086, 1.8410141652915628, 2.7884640093427153, 3.692200713464991, 4.634137284290047, 5.812206589942799, 7.008542971545832, 7.845582226524131, 8.88695972627029, 9.95254040658474, 10.915314627857878, 11.769347269088028, 12.674792480142784, 13.574544220324603, 13.707984692752362, 13.765512508722022, 13.340535697024317, 13.484849566183986, 10.37722747828377, 6.631220203633734, 7.784985567624995, 7.877976644020528, 8.26851026693359, 8.912893460951745, 10.056737373191861, 10.973649349510668, 11.762606878094372, 12.624148791078474, 13.591309880586335, 13.436436674706638, 13.731895125433804, 13.717643672330306, 13.469832164291294, 13.717791442209855, 13.667662060875447, 13.642142813801765, 13.727365745706484, 13.794974054032938, 13.747799250259996, 11.995307527051775, 8.162508627574429, 4.162508627574429, 0.7009868424201157, 0.07874282026217606, 0.9115712245946019, 1.6362356852294149, 2.656165472792575, 3.8296874647979826, 4.624532427780443, 5.417593995995933, 6.080187319314221, 6.719831660065914, 7.441425278738255, 7.004357260918723, 8.166058719099047, 8.782849536963285, 9.424245332960517, 10.032539242493465, 10.643823221778973, 11.300549187591775, 12.252367789099468, 13.379580725111541, 13.759078327110037, 13.317437359420584, 13.581612724028528, 13.49401703864336, 13.41583813313395, 13.597381007121877, 13.755932623157278, 13.399051386639476, 13.37766220486723, 13.44897042020224, 12.612313710324099, 8.612313710324099, 6.566198212886229, 5.00091170541813, 1.1747621743833756, 0.14149024515234038, 0.8893962736316781, 1.5648705488146106, 2.6392557651811104, 3.585219095608295, 4.746282367974596, 5.7910889111534525, 6.6790263339486735, 7.724864231476636, 8.578811765655951, 9.588574362367467, 10.3895060470403, 11.39676299785085, 12.595900779690666, 13.398866301596236, 14.308642203554582, 15.267029074214468, 16.26080829157315, 17.39997361894518, 18.450566469699215, 18.942367938961834, 19.3774258430209, 19.307973629711196, 19.112117172461005, 19.334312852667647, 19.379865665417167, 19.045192802567037, 19.048350839372727, 19.225807627765462, 19.16159162359312, 19.29971392141655, 19.343555050771684, 19.09905253076926, 19.270211139516906, 19.162704830858857, 19.302207803316417, 18.862254647919908, 19.089209436122328, 19.3810932071507, 19.218725099097938, 19.046544690253214, 19.15179757481441, 18.88641401669942, 18.903091026060284, 19.387000834252685, 18.901601167637857, 19.164453830206767, 19.313093872703615, 18.894513337835672, 19.29925682159141, 18.849724624268713, 19.320382505944, 19.226830488871784, 19.285560362515973, 19.32638378502801, 19.019444230534138, 19.0338161496073, 19.273439465146513, 19.074249393129723, 18.959457988813522, 19.10910725631751, 19.300505412099884, 19.05802628184669, 18.928848988199608, 19.304898359728977, 19.22250536969863, 19.22706023893319, 18.844440879123287, 19.255500084031375, 19.35954238987528, 19.359567821267994, 19.34652475487441, 18.86948236875236, 19.26839090530761, 19.313513439204545, 19.43866242776625, 19.339110247101637, 18.882847914481538, 19.438871823353693, 18.990185921648518, 19.405963760437444, 18.889861459806564, 19.298256599726155, 18.919255698714405, 19.360728597091512, 18.95554410145618, 19.23996409378946, 19.431098949545994, 18.920374791752547, 18.878395038759336, 18.93338503838517, 19.23166442616843, 19.111319988928738, 19.340446993717926, 19.022489570975306, 19.408012213893237, 19.150904928250238, 19.24505178119056, 18.90940858620219, 18.973908801293003, 19.260211788173766, 19.121373449089006, 19.388602158157155, 19.355626008342952, 19.124988052072005, 19.011889484999703, 18.84471525974572, 19.080028309961783, 19.022500676438213, 19.153168757082895, 19.04712207122706, 18.929821474067868, 19.316008419133723, 19.16585258460604, 19.336172751579436, 19.04785361719318, 18.843568346612155, 18.96363616009243, 18.97283016392961, 19.309713189359755, 19.350344822192564, 19.40086609703489, 18.873997973939407, 19.370582500202584, 18.95782157085836, 19.097401015469806, 19.42496180442162, 19.33691271004267, 18.932765180859715, 19.109510158197956, 19.335818123035136, 19.247754338672387, 19.37813430564478, 19.167801100490617, 19.111600078744814, 18.931310101468117, 19.026781379766764, 19.252366616958753, 18.913572441749277, 19.08371965401806, 18.978280050968753, 18.976868806136775, 19.148022616803647, 19.40973448893987, 18.988586826073007, 19.193144963923842, 18.88492786224, 19.38239066177979, 19.14410154364072, 19.087248842334375, 19.1537830701191, 19.335651279296727, 18.89415206006728, 18.997373472629118, 19.25066626380198, 19.139194862740116, 19.318367599658668, 18.869220684338362, 19.043340486623347, 19.02807788095437, 18.897884181383997, 19.31178040696308, 19.20828159755096, 19.099100577095523, 18.87874819460325, 19.345497825331986, 19.056528384061533, 19.367693765144796, 19.216550887618215, 19.31830207804218, 17.672605584710837, 13.672605584710837, 13.46060084952973, 13.310094343693928, 13.517990478929132, 13.771079763080925, 13.822266275631264, 13.375797998774797, 13.541819269359113, 13.443895746404305, 13.640487819034607, 13.572246403209865, 13.440327842636034, 13.460007074810566, 13.579996766019613, 13.568281041188166, 13.471159077677877, 14.36035684970399, 10.367383882163145, 6.3673838821631445, 7.40917607698781, 8.228072850910998, 8.852352758862128, 9.461554239496639, 10.302664603984033, 11.36483268518192, 12.511041477361742, 13.258979395490186, 13.968276643605948, 15.11450027217348, 15.870334350869104, 16.52335932659176, 17.59448257334721, 18.336213946148796, 18.91243959847838, 18.864095496861264, 18.853495513424278, 19.007189601855355, 18.95025072927587, 18.397182558475684, 14.397182558475684, 10.830912453679991, 7.119640844407176, 8.225141794931758, 9.306368969286474, 9.944438775674122, 10.653742876099422, 11.782966746911406, 12.716096180500461, 13.33376204991713, 14.014567658221347, 15.186255764970554, 16.220909886071457, 17.271316486466674, 17.898719561947505, 19.041314951572563, 19.389258821317927, 19.26138127195649, 18.915408835709098, 17.510457554841416, 13.86410402186215, 13.483523295409977, 13.668562408173457, 13.30518837204203, 13.432329839231148, 9.72215137928322, 10.426786770434752, 11.333681787686125, 12.51672854418464, 13.509881159659175, 13.717445059362799, 13.444918593820185, 13.321340056378395, 13.3854064368736, 13.527420030590147, 13.723797786477954, 13.520898982286454, 13.39284401793033, 13.781723012225703, 13.694803027259187, 13.54536004328169, 13.65904099895619, 13.610306308194996, 13.48648329326883, 13.330270474506543, 13.36165417545475, 13.583751420406625, 13.815746839726344, 13.336584858745336, 13.52144012298435, 13.346483153952287, 13.860140223484487, 13.874527447912843, 13.854228550437838, 13.837123852791265, 13.584990316824989, 13.329588523982093, 13.74729425358586, 13.670438791075721, 13.754330749120564, 13.495593975121157, 13.379571194490419, 13.717955191209914, 13.495322971846909, 13.87553034500219, 13.57131053284742, 13.469776621051134, 13.575363520821558, 13.523654272835703, 13.72760501034558, 13.410490357792005, 13.756179635329172, 13.827081684451551, 10.532274052106136, 7.509527828801703, 6.44274075225927, 6.405440249098465, 7.271614878103137, 8.151315343119204, 7.8060879507753995, 7.903991038091481, 7.858629844728857]"
motorcycle1,"(613.39, 2002.11)",83.47454361047562,"[14.310867, 13.88242410621737, 14.131690963964358, 12.068689062587366, 12.290506064753428, 8.377363172120884, 6.904690069373235, 6.990210342447742, 8.828969829011246]"
truck1,"(1700.1, 4210.36)",5.523039195977617,"[0.0, 1.1607273537432776, 1.8491042410256342, 2.513207601208706]"
truck2,"(7257.27, 5934.99)",2.4314251260831954,"[0.0, 0.774834994354751, 1.6565901317284444]"
veh1,"(1268.3116469239558, 3264.0331206867054)",0.0,[13.032987]
veh2,"(1835.2862030730153, 972.2413753685101)",0.0,[0.0]
veh3,"(3729.87, 5874.08)",0.0,[0.0]
bus2,"(7776.368902147971, 5505.4549562450275)",69.67232392317895,"[0.0, 0.635790610872209, 1.6427104388829321, 2.7690752789843827, 3.412950875004753, 4.056497487192972, 4.985867181932552, 5.990288233431055, 7.052182486234233, 8.225185913080349, 9.325559352524577, 7.476703756527977, 3.7228799037793663, 4.716045273297468, 5.660587131434122]"
