Edge ID,Capacity (vehicles/hour)
:10002252458_w1,2
:10002879885_w0,2
:10004300784_w0,2
:10004304816_w0,2
:10004305917_w0,2
:10004305923_w0,2
:10004310759_w0,2
:10004311945_w0,2
:10004321340_w0,2
:10004321343_w0,2
:10004321345_w0,2
:10004321346_w0,2
:10004346395_c0,2
:10004346395_w0,2
:10004346395_w1,2
:10004369350_w0,2
:10004372153_w0,2
:10004372154_w0,2
:10004372156_w0,2
:10004372157_w0,2
:10004372158_w0,2
:10004377365_c0,2
:10004377365_w0,2
:10004377365_w1,2
:10004377369_w0,2
:10004377371_w0,2
:10004403727_c0,2
:10004403727_w0,2
:10004403727_w1,2
:10004406848_w0,2
:10004409517_c0,2
:10004409517_w0,2
:10004409517_w1,2
:10004409518_w0,2
:10004409519_w0,2
:10004409522_w0,2
:10004417123_c0,2
:10004417123_w0,2
:10004417123_w1,2
:10004417124_w0,2
:10004417125_w0,2
:10004417130_w0,2
:10004473858_w0,2
:10004473859_w0,2
:10004473869_w0,2
:10004473871_w0,2
:10004473874_w0,2
:10004473875_w0,2
:10004473886_w0,2
:10004473888_w0,2
:10007331371_w0,2
:10007331372_w0,2
:10007331374_w0,2
:10008163022_w0,2
:10008163023_w0,2
:10008169020_w0,2
:10008169021_w0,2
:10008169027_w0,2
:10008283573_w0,2
:10008285692_w0,2
:10008308390_w0,2
:10008314778_w0,2
:10008314784_w0,2
:10008314789_w0,2
:10008319809_w0,2
:10008319813_w0,2
:10008594325_w0,2
:10008594329_w0,2
:10008594337_w0,2
:10008594339_w0,2
:10008605375_w0,2
:10008605376_w0,2
:10008605378_w0,2
:10008605389_w0,2
:10008605393_w0,2
:10008608343_w0,2
:10008608349_w0,2
:10008611662_w0,2
:10008727666_w0,2
:10008727673_w0,2
:10008750062_w0,2
:10008750068_w0,2
:10008756036_w0,2
:10008756040_c0,2
:10008756040_w0,2
:10008756040_w1,2
:10008756053_w0,2
:10008764101_w0,2
:10008764105_w0,2
:10008764111_w0,2
:10008767327_w0,2
:10008767330_w0,2
:10008772706_w0,2
:10008772712_w0,2
:10008773887_w0,2
:10008776336_w0,2
:10008776347_w0,2
:10008776351_w0,2
:10008776353_w0,2
:10008776358_w0,2
:10008776359_w0,2
:10008776362_c0,2
:10008776362_w0,2
:10008776362_w1,2
:10008776365_w0,2
:10008776366_w0,2
:10008779057_w0,2
:10008779062_w0,2
:10008779066_w0,2
:10008779068_w0,2
:10008780632_w0,2
:10008780634_w0,2
:10008780638_w0,2
:10008780644_w0,2
:10008780645_w0,2
:10008780649_w0,2
:10008780651_w0,2
:10008800747_w0,2
:10008800750_w0,2
:10008806879_w0,2
:10008806886_w0,2
:10008806893_w0,2
:10008806895_w0,2
:10008806903_w0,2
:10008806916_w0,2
:10008817733_w0,2
:10008835570_w0,2
:10008835573_w0,2
:10008835578_w0,2
:10008835579_w0,2
:10008878531_w0,2
:10008878533_w0,2
:10008878538_w0,2
:10008878541_w0,2
:10008878556_w0,2
:10008908226_c0,2
:10008908226_w0,2
:10008908226_w1,2
:10008908229_c0,2
:10008908229_w0,2
:10008908229_w1,2
:10008908232_c0,2
:10008908232_w0,2
:10008908232_w1,2
:10008908235_c0,2
:10008908235_w0,2
:10008908235_w1,2
:10008910744_w0,2
:10008910745_w0,2
:10008910748_w0,2
:10008910751_w0,2
:10008910752_w0,2
:10008910755_w0,2
:10008910758_w0,2
:10008910759_w0,2
:10008910762_w0,2
:10008910765_w0,2
:10008910766_w0,2
:10008910769_w0,2
:10008912283_w0,2
:10008912289_w0,2
:10008912294_w0,2
:10008913320_w0,2
:10008913322_w0,2
:10008913330_w0,2
:10008916890_w0,2
:10008928354_w0,2
:10008928358_w0,2
:10008928359_w0,2
:10008928363_w0,2
:10008928365_w0,2
:10008928372_w0,2
:10008978290_w0,2
:10009011119_w0,2
:10009011120_w0,2
:10009011124_w0,2
:10009011126_w0,2
:10009011134_w0,2
:10009011136_w0,2
:10009011138_w0,2
:10009011139_w0,2
:10009011140_w0,2
:10009011142_w0,2
:10009011144_w0,2
:10009011150_w0,2
:10010531102_w0,2
:10010531107_w0,2
:10010531110_w0,2
:10010572649_w0,2
:10010572651_w0,2
:10010572656_w0,2
:10010580360_w0,2
:10010580363_w0,2
:10010580370_w0,2
:10010580373_w0,2
:10010583756_w0,2
:10010596598_c0,2
:10010596598_w0,2
:10010596598_w1,2
:10010601031_w0,2
:10010603620_w0,2
:10010646485_w0,2
:10010646488_w0,2
:10010703803_w0,2
:10010703807_w0,2
:10010728715_w0,2
:10010737370_w0,2
:10010737379_w0,2
:10010737381_w0,2
:10010751123_w0,2
:10010752987_w0,2
:10010752990_w0,2
:10010752992_w0,2
:10010752994_w0,2
:10010752995_w0,2
:10010752997_w0,2
:10010753001_w0,2
:10010753011_w0,2
:10010753929_w0,2
:10010753932_w0,2
:10010795426_w0,2
:10010795428_w0,2
:10010795432_w0,2
:10010795439_w0,2
:10010795449_c0,2
:10010795449_w0,2
:10010795449_w1,2
:10010795450_w0,2
:10010795453_w0,2
:10010795475_c0,2
:10010795475_w0,2
:10010795475_w1,2
:10010795476_w0,2
:10010795482_c0,2
:10010795482_w0,2
:10010795482_w1,2
:10010801684_w0,2
:10010822843_w0,2
:10010834228_w0,2
:10010842302_w0,2
:10010842308_w0,2
:10010842309_w0,2
:10010842312_w0,2
:10010842314_w0,2
:10010842315_w0,2
:10010842316_w0,2
:10010859517_w0,2
:10010859518_w0,2
:10010878835_w0,2
:10010878838_w0,2
:10010878840_w0,2
:10010878843_w0,2
:10010878844_w0,2
:10011023577_w0,2
:10011023579_w0,2
:10011023581_w0,2
:10011023584_w0,2
:10011023588_w0,2
:10011023591_w0,2
:10011023778_w0,2
:10011045786_w0,2
:10011045787_w0,2
:10011045789_w0,2
:10011045792_w0,2
:10011045801_w0,2
:10011045804_w0,2
:10011045805_w0,2
:10011045806_w0,2
:10011045810_w0,2
:10011045816_w0,2
:10011045823_w0,2
:10011049133_w0,2
:10011049135_w0,2
:10011049139_w0,2
:10011049145_w0,2
:10011049146_w0,2
:10011049149_w0,2
:10011049151_w0,2
:10011053218_w0,2
:10011053219_w0,2
:10011053220_w0,2
:10011053223_w0,2
:10011053224_w0,2
:10011053233_w0,2
:10011053234_w0,2
:10011053241_w0,2
:10011053243_w0,2
:10011053248_c0,2
:10011053248_w0,2
:10011053248_w1,2
:10011053249_w0,2
:10011053252_w0,2
:10011053255_w0,2
:10011053256_w0,2
:10011053259_w0,2
:10011059549_w0,2
:10011059555_w0,2
:10011085303_w0,2
:10011085309_w0,2
:10011085310_w0,2
:10011085316_w0,2
:10011086736_w0,2
:10011086737_w0,2
:10011086744_w0,2
:10011088302_c0,2
:10011088302_c1,2
:10011088302_c2,2
:10011088302_w0,2
:10011088302_w1,2
:10011088302_w2,2
:10011088303_w0,2
:10011088314_w0,2
:10011137719_w0,2
:10011137735_w0,2
:10011137745_w0,2
:10011137763_w0,2
:10012795550_w0,2
:10012795551_w0,2
:10012795553_w0,2
:10012795567_w0,2
:10012795581_w0,2
:10012795586_w0,2
:10012795589_w0,2
:10012795593_w0,2
:10012795596_w0,2
:10012795598_w0,2
:10012795599_w0,2
:10019431217_w0,2
:10019431218_w0,2
:10019431222_w0,2
:10019431223_w0,2
:10019431225_w0,2
:10019431226_w0,2
:10019431227_w0,2
:10019431228_w0,2
:10019431233_w0,2
:10019431234_w0,2
:10019431236_w0,2
:10019431237_w0,2
:10024137459_w0,2
:10024137485_w0,2
:10024260071_w0,2
:10024260079_w0,2
:10024260085_w0,2
:10024260097_w0,2
:10025650461_w0,2
:10025650461_w1,2
:10025650461_w2,2
:10025650463_w0,2
:10025650463_w1,2
:10025650463_w2,2
:10025650464_w0,2
:10025650469_w0,2
:10025650474_w0,2
:10025650475_w0,2
:10025650485_c0,2
:10025650485_w0,2
:10025650485_w1,2
:10027014864_w0,2
:10027014871_w0,2
:10027014872_w0,2
:10027014873_w0,2
:10029073379_w0,2
:10029283373_w0,2
:10029283376_w0,2
:10032885692_c0,2
:10032885692_w0,2
:10032885692_w1,2
:10032885694_c0,2
:10032885694_w0,2
:10032885694_w1,2
:10032885695_w0,2
:10032939103_w0,2
:10034996600_w0,2
:10037971981_w0,2
:10037971982_w0,2
:10037971985_w0,2
:10040201768_w0,2
:10040201778_c0,2
:10040201778_w0,2
:10040201778_w1,2
:10040201779_w0,2
:10040201780_w0,2
:10040201781_w0,2
:10040201782_w0,2
:10040201783_w0,2
:10040201784_w0,2
:10040201785_w0,2
:10040201786_w0,2
:10040201787_w0,2
:10040201788_w0,2
:10040201789_w0,2
:10040201790_w0,2
:10040201791_w0,2
:10040201792_w0,2
:10040201793_w0,2
:10040201794_w0,2
:10040201795_w0,2
:10040201796_w0,2
:10040201797_w0,2
:10040201798_w0,2
:10040201799_w0,2
:10040201800_w0,2
:10040201801_w0,2
:10040201802_w0,2
:10042536431_w0,2
:10042536434_w0,2
:10042559901_w0,2
:10042559903_w0,2
:10042559905_w0,2
:10042559908_w0,2
:10042572224_w0,2
:10045859269_w0,2
:10045859274_w0,2
:10045859279_w0,2
:10045859281_w0,2
:10045859284_w0,2
:10045859285_w0,2
:10047134448_w0,2
:10047134450_w0,2
:10047134453_w0,2
:10047134454_w0,2
:10047134456_w0,2
:10047134459_w0,2
:10047134460_w0,2
:10047134466_w0,2
:10047158140_w0,2
:10047158150_w0,2
:10047158153_w0,2
:10047158159_w0,2
:10047158165_w0,2
:10047158176_w0,2
:10047158186_w0,2
:10047191599_w0,2
:10047191602_w0,2
:10047191605_w0,2
:10047197927_c0,2
:10047197927_w0,2
:10047197927_w1,2
:10047197934_w0,2
:10047648327_w0,2
:10047648334_w0,2
:10047648343_w0,2
:10047648344_w0,2
:10047648350_w0,2
:10048449899_w0,2
:10048693900_w0,2
:10048708153_w0,2
:10048708163_w0,2
:10048708165_w0,2
:10048708167_w0,2
:10048841950_w0,2
:10048841960_c0,2
:10048841960_w0,2
:10048841960_w1,2
:10048841973_w0,2
:10048841977_w0,2
:10052550299_w0,2
:10052550302_w0,2
:10054532666_w0,2
:10054532667_w0,2
:10054532669_w0,2
:10054534068_w0,2
:10054534071_w0,2
:10054534079_w0,2
:10054534080_w0,2
:10054539601_w0,2
:10054546418_w0,2
:10054566254_w0,2
:10055453851_w0,2
:10055453855_w0,2
:10055492794_w0,2
:10055934476_w0,2
:10055934497_w0,2
:10055934498_w0,2
:10055934507_c0,2
:10055934507_w0,2
:10055934507_w1,2
:10055963119_w0,2
:10055963120_w0,2
:10055963121_w0,2
:10055963125_w0,2
:10055963131_w0,2
:10069243345_c0,2
:10069243345_w0,2
:10069243345_w1,2
:10069243349_w0,2
:10069243351_w0,2
:10069243352_w0,2
:10069243353_w0,2
:10069243356_w0,2
:10069243360_w0,2
:10069243363_w0,2
:10069243364_w0,2
:10072404961_w0,2
:10072404963_w0,2
:10072404964_w0,2
:10072404965_c0,2
:10072404965_w0,2
:10072404965_w1,2
:10072404969_w0,2
:10072404970_w0,2
:10072404972_w0,2
:10072404973_w0,2
:10072404975_w0,2
:10072404977_w0,2
:10072404978_w0,2
:10074821206_w0,2
:10074821211_c0,2
:10074821211_w0,2
:10074821211_w1,2
:10076705478_w0,2
:10076705479_w0,2
:10076705485_w0,2
:10076707253_w0,2
:10076756515_w0,2
:10076770917_w0,2
:10076770918_w0,2
:10076770929_w0,2
:10076770930_w0,2
:10077068949_w0,2
:10077068962_w0,2
:10081350712_w0,2
:10081824331_w0,2
:10082861683_w0,2
:10082861684_w0,2
:10091754052_w0,2
:10091754054_w0,2
:10091754056_w0,2
:10094664832_w0,2
:10094664843_w0,2
:10094664845_w0,2
:10094664846_w0,2
:10094664854_w0,2
:10094664866_w0,2
:10094664873_w0,2
:10094664877_w0,2
:10094664878_w0,2
:10094664879_w0,2
:10094664883_w0,2
:10094664898_w0,2
:10094664900_w0,2
:10094664910_w0,2
:10094664911_w0,2
:10094664912_w0,2
:10094664913_w0,2
:10094664914_w0,2
:10094672519_w0,2
:10094672521_w0,2
:10094672527_w0,2
:10094672528_w0,2
:10094672542_w0,2
:10094717857_w0,2
:10094717859_w0,2
:10094717860_w0,2
:10094717865_w0,2
:10094717867_w0,2
:10094717868_w0,2
:10094724063_w0,2
:10094724066_w0,2
:10094724069_w0,2
:10094727168_w0,2
:10094727170_w0,2
:10094727171_w0,2
:10094727172_w0,2
:10094727176_w0,2
:10094727177_w0,2
:10094740276_w0,2
:10094740279_w0,2
:10094766984_w0,2
:10094766998_w0,2
:10094773621_w0,2
:10094789775_c0,2
:10094789775_w0,2
:10094789775_w1,2
:10094806326_w0,2
:10094806330_w0,2
:10094806333_w0,2
:10094806335_w0,2
:10094806336_w0,2
:10094806341_w0,2
:10094806342_w0,2
:10094806343_w0,2
:10094819677_w0,2
:10094819684_w0,2
:10094819687_w0,2
:10095006355_w0,2
:10095020131_w0,2
:10095028366_c0,2
:10095028366_w0,2
:10095028366_w1,2
:10095028374_c0,2
:10095028374_w0,2
:10095028374_w1,2
:10095029335_w0,2
:10095046385_w0,2
:10095046393_w0,2
:10095046394_w0,2
:10095046397_w0,2
:10095046401_w0,2
:10095046410_w0,2
:10095049532_w0,2
:10095049542_w0,2
:10095049549_w0,2
:10095049679_w0,2
:10095051069_w0,2
:10095063985_w0,2
:10095063990_w0,2
:10095091480_w0,2
:10095091483_w0,2
:10095091486_w0,2
:10095091489_w0,2
:10095091490_w0,2
:10095091492_w0,2
:10095136392_w0,2
:10095136398_w0,2
:10095139024_w0,2
:10095139030_w0,2
:10095139031_w0,2
:10095139041_w0,2
:10095139042_w0,2
:10095139044_w0,2
:10095139049_w0,2
:10095203626_w0,2
:10095203627_w0,2
:10095203629_w0,2
:10095203633_w0,2
:10095203634_w0,2
:10095203646_w0,2
:10095203649_w0,2
:10095203653_w0,2
:10095203657_w0,2
:10095203660_w0,2
:10095203661_w0,2
:10095203663_w0,2
:10095203672_w0,2
:10095203673_w0,2
:10095203674_w0,2
:10095203678_w0,2
:10095203681_w0,2
:10095203703_w0,2
:10095203706_w0,2
:10095203708_w0,2
:10095203710_w0,2
:10095203712_w0,2
:10095203713_w0,2
:10095203714_w0,2
:10095217317_w0,2
:10095217318_w0,2
:10095217322_w0,2
:10095217324_w0,2
:10095350326_w0,2
:10095350339_w0,2
:10095350340_w0,2
:10095350344_w0,2
:10095350345_w0,2
:10095350346_w0,2
:10095350347_w0,2
:10095721932_w0,2
:10095721936_w0,2
:10095721937_w0,2
:10095721938_w0,2
:10096231670_w0,2
:10096231671_w0,2
:10096231672_w0,2
:10096231673_w0,2
:10096231674_w0,2
:10096231685_w0,2
:10096231700_w0,2
:10096231702_w0,2
:10096231716_w0,2
:10096335924_w0,2
:10096335927_w0,2
:10096335937_w0,2
:10096335961_w0,2
:10096335965_w0,2
:10096335980_w0,2
:10096335984_w0,2
:10096335985_w0,2
:10096335987_w0,2
:10096335988_w0,2
:10096335993_w0,2
:10096335994_w0,2
:10096335995_w0,2
:10096372349_w0,2
:10096472068_w0,2
:10097467243_w0,2
:10097467251_w0,2
:10097488521_w0,2
:10097650990_w0,2
:10098391482_w0,2
:10100544399_w0,2
:10100544400_w0,2
:10100551670_w0,2
:10100665651_w0,2
:10100678785_w0,2
:10100678787_w0,2
:10100713089_w0,2
:10100725054_w0,2
:10100883989_w0,2
:10100883996_w0,2
:10100883999_w0,2
:10100932405_w0,2
:10101178726_w0,2
:10101201931_w0,2
:10101201937_w0,2
:10101216483_w0,2
:10101216484_w0,2
:10101216485_w0,2
:10101387109_w0,2
:10101387110_w0,2
:10101387112_w0,2
:10101387113_w0,2
:10101387114_w0,2
:10101387115_w0,2
:10101403194_w0,2
:10101405674_w0,2
:10101405676_w0,2
:10101405677_w0,2
:10101405678_w0,2
:10101405920_c0,2
:10101405920_w0,2
:10101405920_w1,2
:10101405924_w0,2
:10101405931_c0,2
:10101405931_w0,2
:10101405931_w1,2
:10101405944_c0,2
:10101405944_w0,2
:10101405944_w1,2
:10101405946_c0,2
:10101405946_w0,2
:10101405946_w1,2
:10101427803_w0,2
:10101427804_w0,2
:10101427805_w0,2
:10101427806_w0,2
:10101427807_w0,2
:10101427808_w0,2
:10101427809_w0,2
:10101427810_w0,2
:10101427811_w0,2
:10101427813_w0,2
:10101447326_w0,2
:10101447328_w0,2
:10101771626_w0,2
:10101771628_w0,2
:10101771632_w0,2
:10101771638_w0,2
:10101771649_w0,2
:10101771651_w0,2
:10101771653_w0,2
:10101771658_w0,2
:10101771665_w0,2
:10102118257_w0,2
:10103070235_w0,2
:10103070257_w0,2
:10103070259_w0,2
:10103186723_c0,2
:10103186723_c1,2
:10103186723_c2,2
:10103186723_c3,2
:10103186723_w0,2
:10103186723_w1,2
:10103186723_w2,2
:10103186723_w3,2
:10103385791_w0,2
:10103385798_w0,2
:10103385800_w0,2
:10106229041_w0,2
:10106229046_w0,2
:10106229047_w0,2
:10106229067_w0,2
:10106229110_w0,2
:10106562896_w0,2
:10107337679_w0,2
:10107337680_w0,2
:10107337953_w0,2
:10107338883_w0,2
:10107338916_w0,2
:10107348717_w0,2
:10108064387_w0,2
:10108064389_w0,2
:10108414196_w0,2
:10108586885_w0,2
:10108586886_w0,2
:10108869904_w0,2
:10108869911_w0,2
:10108887866_w0,2
:10108887868_w0,2
:10113888001_w0,2
:10113888003_w0,2
:10113888005_w0,2
:10113888009_w0,2
:10113918280_w0,2
:10113918282_w0,2
:10115014397_w0,2
:10115048049_w0,2
:10115048051_w0,2
:10115048053_w0,2
:10115048056_w0,2
:10115048070_c0,2
:10115048070_w0,2
:10115048070_w1,2
:10115048074_c0,2
:10115048074_w0,2
:10115048074_w1,2
:10115048084_w0,2
:10115048097_w0,2
:10115048101_w0,2
:10115048162_c0,2
:10115048162_w0,2
:10115048162_w1,2
:10115911292_w0,2
:10115914863_w0,2
:10115928684_w0,2
:10115942785_w0,2
:10115945134_w0,2
:10115958233_w0,2
:10115958235_w0,2
:10115960876_w0,2
:10115960877_w0,2
:10115960881_w0,2
:10115960886_w0,2
:10115960888_w0,2
:10115960890_w0,2
:10115960891_w0,2
:10115971182_w0,2
:10116069194_w0,2
:10117231503_w0,2
:10117231514_w0,2
:10117232039_w0,2
:10117234817_w0,2
:10117240014_w0,2
:10117249753_c0,2
:10117249753_w0,2
:10117249753_w1,2
:10117273117_w0,2
:10117273118_w0,2
:10118348718_w0,2
:10118348719_w0,2
:10118348742_w0,2
:10118348760_w0,2
:10118351235_w0,2
:10118351237_w0,2
:10124843746_w0,2
:10124843747_w0,2
:10124843764_w0,2
:10125538907_w0,2
:10125538909_w0,2
:10125540286_w0,2
:10125542200_w0,2
:10125546108_w0,2
:10125546109_w0,2
:10125546113_w0,2
:10125580377_w0,2
:10125580378_w0,2
:10125600548_w0,2
:10125600549_w0,2
:10125600550_w0,2
:10125600551_w0,2
:10125625867_w0,2
:10125625870_w0,2
:10125625871_w0,2
:10125625872_w0,2
:10125625873_w0,2
:10125625874_w0,2
:10125625875_w0,2
:10125655345_w0,2
:10125655347_w0,2
:10125942882_w0,2
:10125943132_w0,2
:10125943174_w0,2
:10125943185_w0,2
:10125943186_w0,2
:10125943187_w0,2
:10125943189_w0,2
:10125943190_w0,2
:10125943191_w0,2
:10125943199_w0,2
:10125943202_w0,2
:10125943204_w0,2
:10126401923_w0,2
:10126401945_w0,2
:10129179714_w0,2
:10129608327_w0,2
:10129834345_w0,2
:10129834352_w0,2
:10129834353_w0,2
:10129834354_w0,2
:10129834356_w0,2
:10129834358_w0,2
:10129834359_w0,2
:10129834360_w0,2
:10129834361_w0,2
:10129834363_w0,2
:10129834366_w0,2
:10129853815_w0,2
:10129857717_w0,2
:10129857721_w0,2
:10129913070_w0,2
:10129913071_w0,2
:10130114578_w0,2
